Nombre;Tipo;Valoración;Localización;Ciudad;Distancia;Cercanías;Descripción
Catalonia Albeniz;Hotel;3 de 5;Sant Martí;Barcelona;a 2,7 km del centro;;El Catalonia Albeniz ofrece habitaciones amplias con aire acondicionado, WiFi gratuita y TV vía satélite.
Hotel SERHS Del Port;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1,4 km del centro;;Este moderno hotel de diseño está en la avenida Paral-lel, a solo 5 minutos a pie de las famosas Ramblas y el puerto de Barcelona.
Sercotel Hotel Rosellon;Hotel;4 de 5;Eixample;Barcelona;a 2 km del centro;;El Sercotel Hotel Rosellón se encuentra a 300 metros de la Sagrada Familia en Barcelona y ofrece alojamiento de 4 estrellas con bar.
One Shot Aragó;Hotel;3 de 5;Eixample;Barcelona;a 0,7 km del centro;a 0,7 km del centro;One Shot Aragó está muy bien situado en el barrio de Eixample, Barcelona, a 5 min a pie de Estación de metro Passeig de Gràcia, a 500 metros de Paseo de Gracia y a 9 min a pie de Teatro Tívoli.
ibis Styles Barcelona City Bogatell;Hotel;2 de 5;Sant Martí;Barcelona;a 2,1 km del centro;;El ibis Styles Barcelona City Bogatell se encuentra en Barcelona, a 900 metros del Puerto Olímpico, y ofrece aparcamiento privado y WiFi gratuita.
NH Collection Barcelona Constanza;Hotel;4 de 5;Les Corts;Barcelona;a 2,8 km del centro;;El NH Collection Barcelona Constanza ofrece habitaciones modernas con TV vía satélite y dispone de azotea con piscina y terraza.
Zenit Barcelona;Hotel;4 de 5;Sarrià-Sant Gervasi;Barcelona;a 2,1 km del centro;;El Zenit Barcelona está situado en Barcelona, a 250 metros de la plaza Francesc Macià de la avenida Diagonal.
Grums Hotel & Spa;Hotel;4 de 5;Sants-Montjuïc;Barcelona;a 1,6 km del centro;;El Hotel Grums es un alojamiento moderno ubicado en el centro de Barcelona, a 5 minutos a pie del puerto y de las terminales de ferris y de cruceros.
Hotel Omnium;Hotel;2 de 5;Eixample;Barcelona;a 0,6 km del centro;;El Hotel Omnium está en Barcelona, a 2,1 km de la playa de Somorrostro, y ofrece alojamiento con salón compartido, aparcamiento privado y terraza.
Exe Cristal Palace;Hotel;4 de 5;Eixample;Barcelona;a 450 m del centro;;El Exe Cristal Palace está muy bien situado junto al prestigioso paseo de Gracia, la principal zona comercial y uno de los lugares de interés más importantes de Barcelona.
La França Travellers Adults Only;Hotel;2 de 5;Sants-Montjuïc;Barcelona;a 2 km del centro;;La França Travellers se encuentra junto a Montjiuic, a 10 minutos a pie de la plaza de España y la Fira de Barcelona. Ofrece aparcamiento privado gratuito y conexión WiFi gratis.
Green House Hotel;Hotel;3 de 5;Eixample;Barcelona;a 1,7 km del centro;a 1,7 km del centro;Este hotel moderno está situado justo enfrente de L'Auditori, a 50 metros del Teatro Nacional.
Hotel del Mar;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1,3 km del centro;;El Hotel del Mar está situado en un edificio protegido, a solo 800 metros del paseo marítimo y de la estación de metro de Barceloneta y a 5 minutos a pie del barrio de moda del Born y el parque de la...
Chic & Basic Velvet;Hotel;3 de 5;Eixample;Barcelona;a 1,9 km del centro;;Este moderno hotel presenta una decoración de la década de 1950 y ofrece habitaciones con aire acondicionado, WiFi gratuita y TV de pantalla plana vía satélite.
Hotel Acta Laumon;Hotel;3 de 5;Sant Andreu;Barcelona;a 4,4 km del centro;;El moderno Hotel Acta Laumon se encuentra a 25 minutos en metro del centro de Barcelona y a solo 200 metros de la estación de metro Sagrera, en Sant Andreu.
Exe Plaza Catalunya;Hotel;4 de 5;Eixample;Barcelona;a 200 m del centro;;Exe Plaza Catalunya está muy bien situado en el barrio de Eixample, Barcelona, a 2,9 km de Platja del Somorrostro, a 2,9 km de Platja de la Barceloneta y a 2 min a pie de Plaza Cataluña.
Hotel Sagrada Familia;Hotel;3 de 5;Eixample;Barcelona;a 2,1 km del centro;;Este hotel se encuentra a solo 2 calles de la Sagrada Familia y tiene una terraza en la azotea con vistas a esta obra de Gaudí, famosa en el mundo entero.
SmartRoom Barcelona;Hotel;0 de 5;Sants-Montjuïc;Barcelona;a 3,2 km del centro;a 3,2 km del centro;El hotel ecológico SmartRoom es económico y está ubicado en el centro de Barcelona, a 1 km de la estación de tren de Barcelona-Sants.
Vilana Hotel Boutique;Hotel;4 de 5;Sarrià-Sant Gervasi;Barcelona;a 4 km del centro;a 4 km del centro;Este hotel elegante y contemporáneo se encuentra en el prestigioso distrito de La Bonanova de Barcelona, a 20 minutos de plaza Catalunya en transporte público.
Hotel Indigo Barcelona Plaza Espana by IHG;Hotel;4 de 5;Sants-Montjuïc;Barcelona;a 2,4 km del centro;;El Hotel Indigo Barcelona Granvia Plaza España, an IHG Hotel es un hotel de diseño moderno con un patio central luminoso.
Room Mate Carla;Hotel;4 de 5;Eixample;Barcelona;a 1,1 km del centro;;El Room Mate Carla se encuentra a 200 metros del paseo de Gracia y a 5 minutos a pie de La Pedrera de Gaudí, en el barrio del Eixample de Barcelona.
Ramblas Hotel;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1 km del centro;;El Ramblas Hotel se encuentra en las famosas Ramblas de Barcelona, a sólo 500 metros del puerto Port Vell.
Hotel Condal;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,7 km del centro;;El Hotel Condal está situado a 50 metros de Las Ramblas y de la estación de metro Liceu y ofrece habitaciones con conexión WiFi gratuita y baño privado.
Ciutat Vella;Hotel;3 de 5;Ciutat Vella;Barcelona;a 350 m del centro;;Este hotel boutique es elegante y ofrece habitaciones coloridas y modernas. Se encuentra en el centro histórico de la ciudad, a solo 4 minutos a pie de las Ramblas y la plaza de Catalunya.
Sallés Hotel Pere IV;Hotel;4 de 5;Sant Martí;Barcelona;a 2,2 km del centro;;El establecimiento Pere IV se encuentra en el distrito de Poble Nou, a 10 minutos a pie de la animada zona del Puerto Olímpico y de las playas de Barcelona.
Casa Lit Barcelona;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1,3 km del centro;;La Casa Lit Barcelona está a 400 metros de Las Ramblas y ofrece una terraza en la azotea con vistas a la ciudad y al mar.
Europark;Hotel;3 de 5;Eixample;Barcelona;a 1 km del centro;;Situado a 600 metros del céntrico paseo de Gracia de Barcelona, el Hotel Europark ofrece una terraza en la azotea con piscina al aire libre.
Pol & Grace Hotel;Hotel;4 de 5;Sarrià-Sant Gervasi;Barcelona;a 2,5 km del centro;;El Pol & Grace Hotel ofrece habitaciones únicas, donde las paredes captan la esencia de los artistas y diseñadores que han participado en residencias artísticas en las instalaciones, creando una...
U232 Hotel;Hotel;4 de 5;Eixample;Barcelona;a 1,8 km del centro;;El U232 Hotel, situado en el atractivo barrio de l'Eixample de Barcelona, ofrece elegantes habitaciones equipadas con aire acondicionado, TV de pantalla plana y Wi-Fi gratuita.
Center Gran Via;Hotel;1 de 5;Eixample;Barcelona;a 0,7 km del centro;;El Hotel Center Gran Via está en el centro de Barcelona, junto a la Universidad de Barcelona (situada en la Gran Vía) y ofrece habitaciones modernas.
Leonardo Hotel Barcelona Gran Via;Hotel;3 de 5;Eixample;Barcelona;a 1,4 km del centro;;Este hotel amplio y moderno se encuentra en el barrio del Eixample, construido en 2004, el Leonardo Hotel Barcelona Gran Via, y cuenta con amplias zonas comunes cubiertas de mármol.
Eurostars Monumental;Hotel;4 de 5;Eixample;Barcelona;a 1,7 km del centro;;Este hotel de diseño se encuentra a 400 metros de la Sagrada Familia y ofrece WiFi gratuita.
Catalonia Gracia;Hotel;4 de 5;Eixample;Barcelona;a 1,4 km del centro;;Este hotel se encuentra junto a la avenida Diagonal y al Paseo de Gracia, una zona idónea para ir de compras. También está cerca de la plaza Cataluña y del histórico Barrio Gótico.
Hotel El Call;Hotel;1 de 5;Ciutat Vella;Barcelona;a 0,7 km del centro;;El Hotel Call Barcelona se encuentra en pleno centro del Barrio Gótico de Barcelona, a 10 minutos a pie de Las Ramblas.
Ilunion Bel-Art;Hotel;4 de 5;Horta-Guinardó;Barcelona;a 2,6 km del centro;;Ilunion Bel-Art está en Barcelona, a 13 min a pie de Sagrada Familia, y dispone de alojamiento con centro de fitness, parking privado, jardín y salón de uso común.
Exe Ramblas Boquería;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,6 km del centro;;El Exe Ramblas Boquería se encuentra en la famosa calle de las Ramblas de Barcelona, junto al mercado de La Boquería.
Feelathome Casa Bertrand;Hotel;0 de 5;Eixample;Barcelona;a 0,6 km del centro;;Feelathome Casa Bertrand se encuentra en Barcelona, a 6 min a pie de Estación de metro Passeig de Gràcia, y ofrece servicio de conserjería y wifi gratis en todo el alojamiento.
HG City Suites Barcelona;Hotel;4 de 5;Sarrià-Sant Gervasi;Barcelona;a 2,3 km del centro;a 2,3 km del centro;El HG City Suites Barcelona está situado en el límite del popular barrio de Gracia de Barcelona, a 300 metros de la estación de metro de Fontana.
Boutique Apartments 23 Barcelona;Hotel;3 de 5;Gracia;Barcelona;a 1,6 km del centro;;Boutique Apartments 23 Barcelona está a 10 min a pie de La Pedrera y ofrece alojamiento consalón de uso común, terraza y centro de negocios. Se ofrece wifi gratis.
Hotel Villa Emilia;Hotel;4 de 5;Eixample;Barcelona;a 1,5 km del centro;;Este hotel presenta un diseño elegante y está ubicado en Barcelona, a 150 metros de la estación de metro Rocafort.
Onix Rambla;Hotel;3 de 5;Eixample;Barcelona;a 400 m del centro;;Este céntrico hotel de Barcelona está rodeado por las boutiques y cafeterías de la elegante rambla de Cataluña.
Barcelona House;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1 km del centro;;El Barcelona House Hotel se encuentra en el Barrio Gótico de Barcelona, a 80 metros de las Ramblas.
Hotel Sansi Barcelona;Hotel;4 de 5;Eixample;Barcelona;a 450 m del centro;;Hotel Sansi Barcelona está muy bien situado en el barrio de Eixample, Barcelona, a 5 min a pie de Estación de metro Passeig de Gràcia, a 700 metros de Teatro Tívoli y a 11 min a pie de Portal del...
Hotel Soho;Hotel;3 de 5;Eixample;Barcelona;a 0,9 km del centro;;El Hotel Soho es elegante, está ubicado en la Gran Vía del centro de Barcelona y tiene azotea con piscina de temporada y terraza solárium con vistas panorámicas.
Caledonian;Hotel;3 de 5;Eixample;Barcelona;a 0,8 km del centro;;El Caledonian goza de una ubicación ideal en la Gran Vía de Barcelona, a solo 5 minutos a pie de la plaza de Cataluña y de Las Ramblas. Ofrece habitaciones con WiFi gratuita.
Allegro Barcelona;Hotel;3 de 5;Eixample;Barcelona;a 1,3 km del centro;;El Allegro Barcelona es un hotel de diseño futurista situado a 100 metros de la estación de metro Diagonal de Barcelona.
Casa Gracia Apartments;Hotel;3 de 5;Gracia;Barcelona;a 1,4 km del centro;;Casa Gracia Apartments se encuentra en Barcelona, a 4 min a pie de La Pedrera y a 900 metros de Casa Batlló, y ofrece alojamiento con wifi gratis y zona de estar.
DreamKeys Barcelona City;Hotel;3 de 5;Sarrià-Sant Gervasi;Barcelona;a 2 km del centro;;El DreamKeys Barcelona City ofrece alojamiento con aire acondicionado en Barcelona. El paseo de Gracia, La Pedrera y la Casa Battló de Gaudí se encuentran a 10 minutos a pie.
Hotel Jazz;Hotel;3 de 5;Eixample;Barcelona;a 400 m del centro;;El elegante Hotel Jazz está situado a 2 minutos a pie de la Plaza Cataluña, en el centro de Barcelona. Cuenta con una piscina en la azotea y con una terraza con vistas a la ciudad.
Praktik Rambla;Hotel;3 de 5;Eixample;Barcelona;a 400 m del centro;a 400 m del centro;Situado en la céntrica y arbolada Rambla Catalunya, este hotel boutique ocupa un palacete espectacular del siglo XIX.
Barcelona City Hotel;Hotel;1 de 5;Eixample;Barcelona;a 0,8 km del centro;;Este práctico hotel está ubicado a 1 calles de Passeig de Gràcia, a unos metros de la Casa Batlló de Gaudí. Ofrece habitaciones individuales equipadas con conexión inalámbrica a internet gratuita.
B Hotel;Hotel;3 de 5;Eixample;Barcelona;a 2 km del centro;;Este hotel de diseño está a solo 150 metros de la plaza España y frente al centro comercial Las Arenas. Cuenta con una piscina en la 8ª planta y un solárium que ofrece vistas espectaculares a...
Hotel Derby;Hotel;4 de 5;Les Corts;Barcelona;a 2,4 km del centro;;El Derby está situado a 300 metros del centro comercial L'Illa Diagonal y a 20 minutos a pie del estadio Camp Nou del FC Barcelona.
Mosaic by Ona;Hotel;3 de 5;Eixample;Barcelona;a 0,9 km del centro;;El Mosaic by Ona se encuentra en Barcelona, en un edificio histórico en el corazón de La Rambla de Catalunya, a 10 minutos a pie de la Plaça Catalunya y a 5 minutos a pie de la Casa Batlló y La...
Hotel Continental Palacete;Hotel;3 de 5;Eixample;Barcelona;a 450 m del centro;;El Hotel Continental Palacete, situado en un palacio reformado del siglo XIX, es un establecimiento de estilo clásico con instalaciones de elegancia refinada.
Hotel Raval House;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,8 km del centro;;Hotel Raval House es un alojamiento bien ubicado en el centro de Barcelona que ofrece habitaciones con aire acondicionado, piscina de temporada al aire libre, wifi gratis y jardín.
Hotel Santa Marta;Hotel;2 de 5;Ciutat Vella;Barcelona;a 1,3 km del centro;;El Hotel Santa Marta se encuentra a solo 100 metros del moderno barrio barcelonés del Born y de la estación de trenes de França.
Limonaia;Hotel;3 de 5;Eixample;Barcelona;a 1,2 km del centro;a 1,2 km del centro;El Limonaia está ubicado en Barcelona, a 100 metros de La Pedrera y a 600 metros de la Casa Batlló, y tiene jardín y WiFi gratuita. Este establecimiento cuenta con terraza y habitaciones familiares.
H10 Art Gallery 4* Sup;Hotel;4 de 5;Eixample;Barcelona;a 1,2 km del centro;a 1,2 km del centro;El H10 Art Gallery es un hotel moderno situado en Barcelona, a 350 metros de la rambla de Catalunya, y cuenta con una terraza con hamacas y una piscina en la 7ª planta. Dispone de WiFi gratuita.
Apartaments Marina - Abapart;Hotel;4 de 5;Eixample;Barcelona;a 2,1 km del centro;;El Apartaments Marina - Abapart se encuentra a 300 metros de la Sagrada Familia y a 1,7 km de La Pedrera y ofrece wifi gratuita y alojamientos con cocina, balcón y zona de estar.
Golden Hotel Barcelona;Hotel;4 de 5;Sant Martí;Barcelona;a 2,3 km del centro;;El Golden Hotel Barcelona está ubicado en Barcelona, a 1,4 km de la Sagrada Familia, y cuenta con la certificación de sostenibilidad Biosphere.
Ilunion Auditori;Hotel;3 de 5;Eixample;Barcelona;a 1,3 km del centro;;El Ilunion Auditori se encuentra a 10 minutos a pie de las estaciones de tren y metro Arc de Triomf y cuenta con gimnasio y piscina de 3 metros de ancho y 5 metros de largo en la azotea.
Arc La Rambla;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1,1 km del centro;;El Arc La Rambla goza de una ubicación ideal, en Las Ramblas, a 100 metros de la estación de metro Drassanes. Ofrece habitaciones con WiFi gratuita.
Vincci Bit;Hotel;4 de 5;Sant Martí;Barcelona;a 4,4 km del centro;;Vincci Bit se encuentra a tan solo 10 minutos andando de la playa de la Mar Bella. La estación de metro de El Maresme Forum está a 7 minutos a pie.
Hotel Vilamarí;Hotel;4 de 5;Eixample;Barcelona;a 1,9 km del centro;;Hotel Vilamarí is set 250 metres from Plaza de Espanya Metro Station and the Fira de Barcelona Exhibition Centre. This hotel features a terrace and a small gym.
Catalonia Eixample 1864;Hotel;4 de 5;Eixample;Barcelona;a 0,7 km del centro;;Este hotel ocupa un edificio del siglo XIX situado en el barrio del Eixample, en Barcelona, y ofrece interiores modernos decorados con elegancia y WiFi gratuita.
Catalonia Barcelona Plaza;Hotel;4 de 5;Sants-Montjuïc;Barcelona;a 2,2 km del centro;;El Hotel Catalonia Barcelona Plaza está ubicado en Barcelona, en la plaza de España, y tiene piscina de temporada en la azotea y terraza con vistas panorámicas a la ciudad.
Park Hotel;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1,2 km del centro;;El Park Hotel ofrece alojamiento elegante y se encuentra en el afamado distrito barcelonés del Born, a solo 10 minutos a pie de la playa de La Barceloneta y frente a la estación de Francia.
Eurohotel Diagonal Port;Hotel;4 de 5;Sant Martí;Barcelona;a 3,6 km del centro;;El Eurohotel Diagonal Port está ubicado en el distrito barcelonés de Poble Nou, a solo 350 metros de la playa de la Mar Bella, y ofrece vistas al mar Mediterráneo.
Hotel Concordia Barcelona;Hotel;4 de 5;Sants-Montjuïc;Barcelona;a 1,6 km del centro;;El Hotel Concordia Barcelona está situado a 800 metros de la plaza de España y del Centro de Exposiciones Fira de Barcelona.
Hotel Astoria;Hotel;3 de 5;Eixample;Barcelona;a 1,6 km del centro;;El Astoria se encuentra en Barcelona, justo al lado de la avenida Diagonal y a 5 minutos a pie de la estación de metro Diagonal y del Paseo de Gracia.
Aparthotel Mariano Cubi Barcelona;Hotel;4 de 5;Sarrià-Sant Gervasi;Barcelona;a 2,1 km del centro;a 2,1 km del centro;El Aparthotel Mariano Cubi se encuentra a solo 200 metros de la avenida Diagonal y a 15 minutos a pie del paseo de Gràcia de Barcelona.
Hotel Inglés;Hotel;1 de 5;Ciutat Vella;Barcelona;a 0,7 km del centro;;El Hotel Inglés está situado al lado de las Ramblas y del mercado de la Boquería, a 5 minutos a pie de la plaza de Cataluña.
Casa Bella Gracia by Aspasios;Hotel;0 de 5;Gracia;Barcelona;a 1,5 km del centro;;Casa Bella Gracia by Aspasios is less than 5 minutes’ walk from Passeig de Gràcia and Diagonal Avenue. This boutique hotel features 11 attractive rooms.
Abba Rambla Hotel;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,9 km del centro;a 0,9 km del centro;El Abba Rambla Hotel está situado en el barrio del Raval, a 500 metros de Las Ramblas y de la estación de metro del Liceu. Ofrece conexión Wi-Fi gratuita y cuenta con un solárium.
BYPILLOW Twenty;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,6 km del centro;;This design hotel has an excellent location in a quiet side street only 20 metres from the famous Las Ramblas. Free Wi-Fi is available throughout the hotel.
H10 Casanova;Hotel;4 de 5;Eixample;Barcelona;a 0,8 km del centro;a 0,8 km del centro;El elegante H10 Casanova Hotel está ubicado en la Gran Vía de Barcelona, a 10 minutos a pie de la plaza de Cataluña y de La Rambla. Alberga un garden spa con bañera de hidromasaje y sala de vapor.
1881 Barcelona Gran Rosellon Hotel;Hotel;4 de 5;Eixample;Barcelona;a 1,3 km del centro;;El 1881 Barcelona Gran Rosellon Hotel, a 5 minutos a pie de la estación de metro de Diagonal, ofrece alojamiento en Barcelona, con conexión wifi gratuita, restaurante, piscina exterior de temporada....
Hotel Àmbit Barcelona;Hotel;4 de 5;Eixample;Barcelona;a 450 m del centro;;El Hotel Àmbit Barcelona se encuentra en Barcelona, a 400 metros de la Plaza de Cataluña, y ofrece habitaciones modernas con aire acondicionado y conexión WiFi gratuita.
Leonardo Royal Hotel Barcelona Fira;Hotel;4 de 5;Sants-Montjuïc;Barcelona;a 4,3 km del centro;;El establecimiento Leonardo Royal Hotel Barcelona Fira está ubicado en Barcelona, a 1,5 km del Palau Sant Jordi, y ofrece alojamiento con aire acondicionado y bar.
Hotel Barcelona Center;Hotel;4 de 5;Eixample;Barcelona;a 1 km del centro;;El Barcelona Center está ubicado en Barcelona, a 400 metros del Paseo de Gracia y a 15 minutos a pie de la plaza de Cataluña.
Mercure Barcelona Condor;Hotel;4 de 5;Sarrià-Sant Gervasi;Barcelona;a 2,5 km del centro;;Este hotel urbano de estilo informal está situado en el tranquilo barrio barcelonés de Sarrià-Sant Gervasi, a 10 minutos del centro a través de la cercana estación de tren Sant Gervasi (de la red de...
Moderno;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,7 km del centro;;El Hotel Moderno está situado en el centro, en una calle lateral ubicada a solo 20 metros de las famosas Ramblas de Barcelona. Ofrece WiFi gratuita en todas sus instalaciones.
Hotel Barcelona Universal;Hotel;4 de 5;Ciutat Vella;Barcelona;a 1,3 km del centro;;El Barcelona Universal ofrece WiFi gratuita, gimnasio y piscina en la azotea con vistas a la ciudad. Se encuentra junto a la estación de metro de Parallel y a solo 600 metros de Las Ramblas.
Hotel Rec Barcelona - Adults Only;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,9 km del centro;;Hotel Rec Barcelona - Adults Only es un alojamiento bien ubicado en Barcelona que ofrece piscina de temporada al aire libre, wifi gratis, salón de uso común y habitaciones con aire acondicionado.
Citadines Ramblas Barcelona;Hotel;3 de 5;Ciutat Vella;Barcelona;a 400 m del centro;;Este aparthotel ofrece recepción 24 horas en las famosas Ramblas, en el centro de Barcelona, cerca de muchos bares, restaurantes y tiendas. Hay conexión WiFi gratuita en todas las instalaciones.
Tres Torres Atiram Hotel;Hotel;3 de 5;Sarrià-Sant Gervasi;Barcelona;a 3,6 km del centro;a 3,6 km del centro;El Hotel Tres Torres se encuentra en el barrio barcelonés de Sarrià, a solo 350 metros de la estación de metro de Tres Torres, que conecta con la Plaza de Cataluña y Las Ramblas en 15 minutos.
Hotel Ramblas Internacional;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,7 km del centro;;El Hotel Ramblas Internacional se encuentra en las famosas Ramblas, a 50 metros de la estación de metro Liceu y cerca del mercado de La Boquería.
Bonanova Suite;Hotel;3 de 5;Sarrià-Sant Gervasi;Barcelona;a 3,5 km del centro;;Estos apartamentos se encuentran en el barrio residencial de Sarrià-Sant Gervasi, a solo 10 minutos de la Plaza Cataluña.
Cuatro Naciones;Hotel;2 de 5;Ciutat Vella;Barcelona;a 1 km del centro;;El Cuatro Naciones goza de una ubicación ideal en las famosas Ramblas de Barcelona, a 200 metros de la estación de metro de Drassanes.
Hotel Cortes Rambla;Hotel;3 de 5;Ciutat Vella;Barcelona;a 200 m del centro;;Hotel Cortes Rambla está muy bien situado en el barrio de Ciutat Vella, Barcelona, a 2,4 km de Platja del Somorrostro, a 2,6 km de Platja de la Barceloneta y a 3 min a pie de Plaza Cataluña.
Atenea Rekord Suites;Hotel;4 de 5;Sarrià-Sant Gervasi;Barcelona;a 2,5 km del centro;;El Atenea Rekord Suites se encuentra en el barrio de Sarriá, en Barcelona, a 10 minutos en tren de la plaza de Catalunya. Hay WiFi gratuita en todas las instalaciones.
The Corner Hotel;Hotel;4 de 5;Eixample;Barcelona;a 1,2 km del centro;;El The Corner Hotel se encuentra en Barcelona, a 1,1 km de la Casa Batlló, y cuenta con piscina al aire libre, aparcamiento privado, bar y terraza.
Hotel Roger de Llúria;Hotel;4 de 5;Eixample;Barcelona;a 450 m del centro;;Este hotel boutique ofrece cómodas habitaciones con TV de pantalla plana de 42 pulgadas y conexión inalámbrica a internet gratuita.
Sixties Ramblas;Hotel;3 de 5;Ciutat Vella;Barcelona;a 1,2 km del centro;;Offering a 1960’s vibe and rooms with vintage décor, this hotel is set in the heart of Barcelona, only 2 minutes’ walk from the famous Ramblas. Free Wi-Fi is available throughout.
INNSiDE by Meliá Barcelona Apolo;Hotel;4 de 5;Sants-Montjuïc;Barcelona;a 1,4 km del centro;;El INNSiDE by Meliá Barcelona Apolo se encuentra a los pies de Montjuic, a 7 minutos a pie de Las Ramblas de Barcelona. Ofrece recepción 24 horas y habitaciones con aire acondicionado y wifi.
Barcelona Century Hotel;Hotel;3 de 5;Eixample;Barcelona;a 1,3 km del centro;;El Barcelona Century Hotel goza de una ubicación céntrica, en el distrito del Eixample, a poca distancia a pie de las Ramblas y del Passeig de Gracia.
Catalonia Born;Hotel;4 de 5;Ciutat Vella;Barcelona;a 0,9 km del centro;;El Catalonia Born ocupa un edificio del siglo XIX ubicado en el barrio barcelonés del Born y tiene WiFi gratuita, piscina en la azotea y un patio central con encanto.
Hotel Sant Agustí;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,7 km del centro;;El Sant Agustí, inaugurado en 1840, ocupa un convento restaurado situado a solo 150 metros del famoso paseo de La Rambla de Barcelona.
Acta BCN 40;Hotel;2 de 5;Ciutat Vella;Barcelona;a 0,6 km del centro;;El Acta BCN 40 Hotel se encuentra en el centro de Barcelona, a 350 metros de la plaza de La Universidad y a 5 minutos a pie de Las Ramblas.
Hotel California;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,8 km del centro;;El Hotel California está situado en pleno Barrio Gótico de Barcelona, a solo 2 minutos a pie de Las Ramblas. El hotel dispone de habitaciones con balcón, aire acondicionado y conexión Wi-Fi gratuita.
Attica 21 Barcelona Mar;Hotel;4 de 5;Sant Martí;Barcelona;a 4 km del centro;;Located in the modern Diagonal Mar district of Barcelona, Attica 21 is only 300 metres from the beach. The hotel has a rooftop swimming pool and free Wi-Fi.
Hotel Oasis;Hotel;2 de 5;Ciutat Vella;Barcelona;a 1,3 km del centro;;El Hotel Oasis se encuentra en Barcelona, a solo 250 metros de la estación de tren de França y a 100 metros del barrio del Born.
Via Sants Hotel Barcelona, Tapestry Collection By Hilton;Hotel;4 de 5;Eixample;Barcelona;a 2,3 km del centro;;Via Sants Hotel Barcelona, Tapestry Collection By Hilton se encuentra en Barcelona, a 6 min a pie de Estación de tren de Sants, y ofrece alojamiento con jardín, parking privado, salón de uso común y...
Cram Hotel;Hotel;4 de 5;Eixample;Barcelona;a 0,8 km del centro;;El Hotel Cram Hotel se encuentra en el céntrico barrio del Eixample, en Barcelona, a 10 minutos a pie de Plaza Cataluña.
Dalia Ramblas;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,8 km del centro;;El Dalia Ramblas, que ofrece habitaciones con aire acondicionado y WiFi gratuita, está situado en el barrio del Raval, a 50 metros de La Rambla.
BCN Urbaness Hotels Del Comte;Hotel;2 de 5;Eixample;Barcelona;a 1,2 km del centro;;El Hotel Del Comte está situado en Barcelona, a 100 metros de la estación de metro de Urgell y a 15 minutos a pie de la Rambla y de la plaza de España.
AinB B&B Eixample-Muntaner;Hotel;0 de 5;Eixample;Barcelona;a 0,7 km del centro;a 0,7 km del centro;Este hotel ocupa un edificio neoclásico con encanto y ha sido restaurado con esmero. Se encuentra en el centro histórico de Barcelona, cerca de muchos de los lugares de interés más populares.
Hotel Turin Barcelona;Hotel;3 de 5;Ciutat Vella;Barcelona;a 450 m del centro;;El Hotel Turin Barcelona se encuentra a solo 50 metros de las famosas Ramblas de Barcelona. Ofrece WiFi gratuita, recepción 24 horas, consigna de equipaje gratuita y terraza solárium.
Aparthotel Bcn Montjuic;Hotel;3 de 5;Sants-Montjuïc;Barcelona;a 2,9 km del centro;;Este aparthotel de diseño está ubicado a los pies del monte Montjuic, a 10 minutos a pie de la estación de metro Plaza Espanya y de la parada del autobús que lleva al aeropuerto.
Acta Atrium Palace;Hotel;4 de 5;Eixample;Barcelona;a 450 m del centro;;Este hotel elegante se encuentra a 250 metros de la estación de metro y del bulevar Paseo de Gracia. Además, está a 5 minutos a pie de la plaza Cataluña y tiene WiFi gratuita.
Acta Antibes;Hotel;2 de 5;Eixample;Barcelona;a 1,4 km del centro;;El Acta Antibes está en el distrito del Eixample de Barcelona, a 10 minutos a pie de la Sagrada Familia. Este hotel ofrece recepción 24 horas, desayuno buffet y WiFi gratuita.
Catalonia Avinyo;Hotel;3 de 5;Ciutat Vella;Barcelona;a 0,8 km del centro;;El Catalonia Avinyo está ubicado en el centro de Barcelona, a 200 metros de Las Ramblas, y cuenta con gimnasio y piscina en la azotea.
Aparthotel Augusta;Hotel;3 de 5;Sarrià-Sant Gervasi;Barcelona;a 2,4 km del centro;;El Aparthotel Augusta ofrece alojamiento asequible con conexión inalámbrica a internet gratuita y una recepción abierta las 24 horas del día.
Hotel Ciutadella Barcelona;Hotel;4 de 5;Ciutat Vella;Barcelona;a 1,3 km del centro;;El Hotel Ciutadella Barcelona dispone de habitaciones preciosas y elegantes y goza de una ubicación céntrica ideal a menos de 300 metros de la iglesia de Santa María del Mar, del parque de la...
